Lower tier local authorities Code,Lower tier local authorities,Hours worked (5 categories) Code,Hours worked (5 categories),Observation
E09000019,Islington,2,Part-time: 16 to 30 hours worked,15871
E09000019,Islington,3,Full-time: 31 to 48 hours worked,67481
E09000019,Islington,4,Full-time: 49 or more hours worked,20593
E09000020,Kensington and Chelsea,-8,Does not apply,73935
E09000020,Kensington and Chelsea,1,Part-time: 15 hours or less worked,7610
E09000020,Kensington and Chelsea,2,Part-time: 16 to 30 hours worked,9995
E09000020,Kensington and Chelsea,3,Full-time: 31 to 48 hours worked,33155
E09000020,Kensington and Chelsea,4,Full-time: 49 or more hours worked,18680
E09000021,Kingston upon Thames,-8,Does not apply,83915
E09000021,Kingston upon Thames,1,Part-time: 15 hours or less worked,9292
E09000021,Kingston upon Thames,2,Part-time: 16 to 30 hours worked,14343
E09000021,Kingston upon Thames,3,Full-time: 31 to 48 hours worked,49806
E09000021,Kingston upon Thames,4,Full-time: 49 or more hours worked,10707
E09000022,Lambeth,-8,Does not apply,134835
E09000022,Lambeth,1,Part-time: 15 hours or less worked,16700
E09000022,Lambeth,2,Part-time: 16 to 30 hours worked,25925
E09000022,Lambeth,3,Full-time: 31 to 48 hours worked,112911
E09000022,Lambeth,4,Full-time: 49 or more hours worked,27282
E09000023,Lewisham,-8,Does not apply,144841
E09000023,Lewisham,1,Part-time: 15 hours or less worked,16083
E09000023,Lewisham,2,Part-time: 16 to 30 hours worked,28089
E09000023,Lewisham,3,Full-time: 31 to 48 hours worked,94030
E09000023,Lewisham,4,Full-time: 49 or more hours worked,17510
E09000024,Merton,-8,Does not apply,103124
E09000024,Merton,1,Part-time: 15 hours or less worked,11570
E09000024,Merton,2,Part-time: 16 to 30 hours worked,18726
E09000024,Merton,3,Full-time: 31 to 48 hours worked,66670
E09000024,Merton,4,Full-time: 49 or more hours worked,15099
E09000025,Newham,-8,Does not apply,187591
E09000025,Newham,1,Part-time: 15 hours or less worked,18670
E09000025,Newham,2,Part-time: 16 to 30 hours worked,34028
E09000025,Newham,3,Full-time: 31 to 48 hours worked,94325
E09000025,Newham,4,Full-time: 49 or more hours worked,16422
E09000026,Redbridge,-8,Does not apply,168633
E09000026,Redbridge,1,Part-time: 15 hours or less worked,16639
E09000026,Redbridge,2,Part-time: 16 to 30 hours worked,28204
E09000026,Redbridge,3,Full-time: 31 to 48 hours worked,81723
E09000026,Redbridge,4,Full-time: 49 or more hours worked,15062
E09000027,Richmond upon Thames,-8,Does not apply,97713
E09000027,Richmond upon Thames,1,Part-time: 15 hours or less worked,10880
E09000027,Richmond upon Thames,2,Part-time: 16 to 30 hours worked,14990
E09000027,Richmond upon Thames,3,Full-time: 31 to 48 hours worked,54047
E09000027,Richmond upon Thames,4,Full-time: 49 or more hours worked,17648
E09000028,Southwark,-8,Does not apply,140689
E09000028,Southwark,1,Part-time: 15 hours or less worked,16582
E09000028,Southwark,2,Part-time: 16 to 30 hours worked,25386
E09000028,Southwark,3,Full-time: 31 to 48 hours worked,99680
E09000028,Southwark,4,Full-time: 49 or more hours worked,25300
E09000029,Sutton,-8,Does not apply,105415
E09000029,Sutton,1,Part-time: 15 hours or less worked,10702
E09000029,Sutton,2,Part-time: 16 to 30 hours worked,18501
E09000029,Sutton,3,Full-time: 31 to 48 hours worked,64135
E09000029,Sutton,4,Full-time: 49 or more hours worked,10888
E09000030,Tower Hamlets,-8,Does not apply,154914
E09000030,Tower Hamlets,1,Part-time: 15 hours or less worked,15607
E09000030,Tower Hamlets,2,Part-time: 16 to 30 hours worked,25230
E09000030,Tower Hamlets,3,Full-time: 31 to 48 hours worked,90675
E09000030,Tower Hamlets,4,Full-time: 49 or more hours worked,23880
E09000031,Waltham Forest,-8,Does not apply,138054
E09000031,Waltham Forest,1,Part-time: 15 hours or less worked,15075
E09000031,Waltham Forest,2,Part-time: 16 to 30 hours worked,25668
E09000031,Waltham Forest,3,Full-time: 31 to 48 hours worked,84719
E09000031,Waltham Forest,4,Full-time: 49 or more hours worked,14909
E09000032,Wandsworth,-8,Does not apply,137064
E09000032,Wandsworth,1,Part-time: 15 hours or less worked,15478
E09000032,Wandsworth,2,Part-time: 16 to 30 hours worked,23170
E09000032,Wandsworth,3,Full-time: 31 to 48 hours worked,115966
E09000032,Wandsworth,4,Full-time: 49 or more hours worked,35828
E09000033,Westminster,-8,Does not apply,102494
E09000033,Westminster,1,Part-time: 15 hours or less worked,10669
E09000033,Westminster,2,Part-time: 16 to 30 hours worked,13969
E09000033,Westminster,3,Full-time: 31 to 48 hours worked,51876
E09000033,Westminster,4,Full-time: 49 or more hours worked,25228
