Lower tier local authorities Code,Lower tier local authorities,Occupation (current) (10 categories),Observation
E09000013,Hammersmith and Fulham,2. Professional occupations,29279
E09000013,Hammersmith and Fulham,3. Associate professional and technical occupations,18574
E09000013,Hammersmith and Fulham,4. Administrative and secretarial occupations,6900
E09000013,Hammersmith and Fulham,5. Skilled trades occupations,4493
E09000013,Hammersmith and Fulham,"6. Caring, leisure and other service occupations",6803
E09000013,Hammersmith and Fulham,7. Sales and customer service occupations,5004
E09000013,Hammersmith and Fulham,"8. Process, plant and machine operatives",2711
E09000013,Hammersmith and Fulham,9. Elementary occupations,6006
E09000014,Haringey,Does not apply,129857
E09000014,Haringey,"1. Managers, directors and senior officials",17168
E09000014,Haringey,2. Professional occupations,33738
E09000014,Haringey,3. Associate professional and technical occupations,21842
E09000014,Haringey,4. Administrative and secretarial occupations,9189
E09000014,Haringey,5. Skilled trades occupations,11265
E09000014,Haringey,"6. Caring, leisure and other service occupations",10419
E09000014,Haringey,7. Sales and customer service occupations,8084
E09000014,Haringey,"8. Process, plant and machine operatives",6027
E09000014,Haringey,9. Elementary occupations,16651
E09000015,Harrow,Does not apply,136166
E09000015,Harrow,"1. Managers, directors and senior officials",17524
E09000015,Harrow,2. Professional occupations,31409
E09000015,Harrow,3. Associate professional and technical occupations,14526
E09000015,Harrow,4. Administrative and secretarial occupations,12204
E09000015,Harrow,5. Skilled trades occupations,12184
E09000015,Harrow,"6. Caring, leisure and other service occupations",8624
E09000015,Harrow,7. Sales and customer service occupations,9061
E09000015,Harrow,"8. Process, plant and machine operatives",7806
E09000015,Harrow,9. Elementary occupations,11702
E09000016,Havering,Does not apply,137271
E09000016,Havering,"1. Managers, directors and senior officials",15438
E09000016,Havering,2. Professional occupations,24339
E09000016,Havering,3. Associate professional and technical occupations,16717
E09000016,Havering,4. Administrative and secretarial occupations,16701
E09000016,Havering,5. Skilled trades occupations,14375
E09000016,Havering,"6. Caring, leisure and other service occupations",10294
E09000016,Havering,7. Sales and customer service occupations,8162
E09000016,Havering,"8. Process, plant and machine operatives",8058
E09000016,Havering,9. Elementary occupations,10697
E09000017,Hillingdon,Does not apply,163104
E09000017,Hillingdon,"1. Managers, directors and senior officials",18524
E09000017,Hillingdon,2. Professional occupations,30087
E09000017,Hillingdon,3. Associate professional and technical occupations,18036
E09000017,Hillingdon,4. Administrative and secretarial occupations,14401
E09000017,Hillingdon,5. Skilled trades occupations,13152
E09000017,Hillingdon,"6. Caring, leisure and other service occupations",12044
E09000017,Hillingdon,7. Sales and customer service occupations,10772
E09000017,Hillingdon,"8. Process, plant and machine operatives",10752
E09000017,Hillingdon,9. Elementary occupations,15035
E09000018,Hounslow,Does not apply,149381
E09000018,Hounslow,"1. Managers, directors and senior officials",17914
E09000018,Hounslow,2. Professional occupations,27755
E09000018,Hounslow,3. Associate professional and technical occupations,17668
E09000018,Hounslow,4. Administrative and secretarial occupations,12160
E09000018,Hounslow,5. Skilled trades occupations,12138
E09000018,Hounslow,"6. Caring, leisure and other service occupations",11345
E09000018,Hounslow,7. Sales and customer service occupations,11117
E09000018,Hounslow,"8. Process, plant and machine operatives",10067
E09000018,Hounslow,9. Elementary occupations,18636
E09000019,Islington,Does not apply,101619
E09000019,Islington,"1. Managers, directors and senior officials",17439
E09000019,Islington,2. Professional occupations,39312
E09000019,Islington,3. Associate professional and technical occupations,22879
E09000019,Islington,4. Administrative and secretarial occupations,7333
E09000019,Islington,5. Skilled trades occupations,4945
E09000019,Islington,"6. Caring, leisure and other service occupations",6756
E09000019,Islington,7. Sales and customer service occupations,5601
E09000019,Islington,"8. Process, plant and machine operatives",3496
E09000019,Islington,9. Elementary occupations,7211
E09000020,Kensington and Chelsea,Does not apply,73935
E09000020,Kensington and Chelsea,"1. Managers, directors and senior officials",18485
E09000020,Kensington and Chelsea,2. Professional occupations,19186
