6.2,159970
6.5,160231
6.5,161531
7.3,165042
7.1,166606
7.3,168184
7.4,170604
7.9,172037
8.5,172738
9.4,173750
9.6,174644
10.4,176819
10.5,176758
10.6,177261
10.6,178636
10.4,182243
10.6,184330
10.8,186348
10.6,188691
10.3,189786
10,190032
9.1,189589
8.5,189489
7,189193
5.1,185782
3.9,184185
2.4,182845
0.5,183148
0,184267
-2.4,181831
-4.7,179845
-7.2,176092
-9.7,171660
-11.3,168177
-13.7,163447
-14.9,160954
-15.4,157234
-15.6,155417
-15.5,154452
-14.9,155852
-14.3,158004
-12.2,159561
-9.7,162423
-6.9,164025
-3.7,165314
-1,166425
2.2,166986
4.4,168082
6.5,167469
8,167888
8.7,167878
9.1,170028
8.1,170846
7.6,171689
6.8,173427
5.7,173417
4.6,172972
2.8,171045
1.2,169013
0.4,168703
-0.1,167300
-0.9,166415
-1.3,165649
-1.1,168218
-2,167470
-2.3,167753
-2.1,169866
-2,169968
-2,169544
-2,167673
-0.7,167757
-1,167048
-0.8,165908
-0.6,165457
0.2,165947
-0.2,167854
0.6,168395
1.4,170049
0.5,170701
0.5,170902
0.4,170295
0.8,169090
0.9,169227
1.1,168843
1.1,167716
1.3,167682
1.6,168681
1.5,170335
1.7,171234
1.5,172655
2.3,174592
3,175982
3.4,176098
3.7,175378
4.2,176352
5.4,177971
6.2,178182
6.7,178921
6.4,179537
7.7,183532
8.3,185476
8.4,187077
8.7,189709
9.1,191932
9.1,192138
9.4,191855
8.4,191209
7.7,191669
7,190665
6.7,190827
6.7,191537
5.3,193225
5.3,195313
5.2,196802
5.5,200142
5.2,201973
5.3,202389
5.6,202664
6.8,204223
6.9,204920
7.8,205464
7.7,205555
8.4,207667
7.9,208443
8,210872
8.2,212887
7.5,215127
6.5,215145
6.1,214816
5.6,214107
5.3,215113
5.2,215500
4.8,215243
4.9,215697
3.6,215236
4.9,218642
4.3,219954
4.2,221833
4.5,224719
4.9,225738
4.7,224895
5.1,225092
4.3,224453
4.6,225330
4.3,224544
4.4,225131
4,223772
3.3,225910
3.1,226834
2.9,228355
2.9,231187
2.7,231898
2.9,231454
2.7,231211
2.6,230224
2,229729
1.7,228314
1.2,227738
1.5,227104
1.3,228749
1,229061
0.7,230049
0.6,232618
0.6,233366
0.9,233536
0.7,232919
0.8,232096
0.9,231792
1.6,231940
1.3,230609
2.5,232684
0.7,230318
1.1,231508
2,234703
1.7,236687
2.4,239036
3.5,241684
4.7,243800
6.3,246786
7.3,248775
7.4,249009
8.6,250498
9.3,254405
9.3,251712
9.4,253224
13.1,265448
8,255535
